012.00	314,355
016.00	211,290
019.00	382,231
021.00	185,211
029.00	389,162
032.00	68,162
037.00	257,399
041.00	95,162
043.00	298
052.00	95,290
054.00	227,362
056.00	179,9
058.00	34,203
060.00	54,214
061.00	114,352
063.00	285,356
066.00	418,270
069.00	235,402
072.00	367,202
077.00	37,257
079.00	335,362
081.00	278,356
083.00	348,355
084.00	175,355
086.00	333,214
090.00	112,196
092.00	50,482
096.00	427,409
098.00	133,290
102.00	235,202
108.00	214,431
109.00	482,399
111.00	68,38
114.00	73,402
115.00	68,409
116.00	190
118.00	60
119.00	214,203
120.00	196,278
122.00	298,285
123.00	226,366
128.00	431,231
129.00	340
131.00	32,196
133.00	204,129
138.00	330,196
140.00	175,446
142.00	372,446
147.00	225,352
161.00	343,203
163.00	101,278
165.00	450,9
167.00	527,450
170.00	133,351
174.00	313,270
177.00	297,202
179.00	115,351
183.00	453,8
185.00	205,272
187.00	270,227
191.00	230,414
193.00	202,364
194.00	34,401
198.00	109,355
200.00	194,517
203.00	243,285
207.00	364,366
209.00	370,38
211.00	453,290
216.00	242,264
218.00	257,517
222.00	109,446
223.00	362,350
225.00	420,264
226.00	243,314
227.00	65,355
228.00	364,399
231.00	484,402
234.00	50,285
235.00	214,445
236.00	183,364
238.00	445,285
239.00	238,393
240.00	9,257
241.00	174,231
246.00	446
261.00	305,399
263.00	271,387
270.00	73,352
276.00	119,366,413,203
278.00	239,351
280.00	194,270
283.00	56,202
296.00	270,8
300.00	321
302.00	389,180
303.00	424,8
307.00	409,203
309.00	423,324
313.00	271,366
314.00	313,366
318.00	37,399
320.00	214
322.00	34,257
324.00	90,446
325.00	285,278
327.00	252,276
328.00	324,202
331.00	298,9
333.00	297,355
339.00	209,214
341.00	232,283
345.00	243,202
347.00	440,446
349.00	243,445
351.00	466,352
353.00	194,220
355.00	220,271
357.00	73,318
358.00	95,304
359.00	224,276
366.00	392,445
369.00	214,414
370.00	300,196
371.00	349,200
374.00	442,428
397.00	297,366
399.00	401,290
403.00	400,393
412.00	173
417.00	343,351
418.00	163,352
422.00	281,290
425.00	95,285
427.00	252,409
431.00	372,290
434.00	492,389
436.00	285,356
441.00	417,272
442.00	220,196
449.00	254,276
451.00	97,401
453.00	409,441
456.00	186
479.00	324
